yield,current,total,roa,class
3.1,316.97 ,-3.93,3.85,1
5.33,130.29 ,-3.92,2.76,1
0,251.97 ,-3.85,2.13,0
2.73,311.76 ,-3.85,0.15,1
1.16,483.64 ,-3.84,0.58,0
2.49,238.65 ,-3.79,2.77,1
0,281.56 ,-3.79,-0.38,0
2.33,474.85 ,-3.79,2.72,1
1.92,284.37 ,-3.77,-1.6,1
4.42,259.72 ,-3.75,1.13,1
1.48,110.69 ,-3.71,1.85,0
3.07,131.62 ,-3.7,2.07,1
0,141.62 ,-3.67,-0.84,0
2.92,207.90 ,-3.61,4.28,1
2.29,217.69 ,-3.57,-0.49,1
1.72,215.63 ,-3.53,5.02,0
0,173.75 ,-3.49,-0.34,0
1.44,106.24 ,-3.45,0.78,0
4.56,95.91 ,-3.42,4.56,1
1.01,162.07 ,-3.41,1.49,0
0,345.58 ,-3.38,-4.23,0
0.96,189.43 ,-3.33,0.81,0
5.1,447.39 ,-3.26,0.62,1
3.1,99.84 ,-3.25,1.35,1
0,160.28 ,-3.25,-0.74,0
0.82,259.39 ,-3.24,6.07,0
1.12,149.06 ,-3.22,1.54,0
0,313.69 ,-3.18,1.18,0
0,475.91 ,-3.06,0.53,0
6.24,103.81 ,-3.05,1.13,1
0,235.01 ,-2.95,1.79,0
0,236.79 ,-2.95,2.04,0
4.05,160.48 ,-2.93,5.22,1
2.83,317.59 ,-2.93,2.41,1
4.11,182.35 ,-2.88,1.43,1
0.38,2670.31 ,-2.87,-0.68,0
0.36,244.59 ,-2.85,0.92,0
2.45,157.25 ,-2.81,9.87,1
5.28,206.16 ,-2.74,9.5,1
3.82,434.06 ,-2.68,6.8,1
2.14,167.18 ,-2.66,0.29,1
2.12,1250.10 ,-2.6,3.63,1
0,118.54 ,-2.43,-1.36,0
1.1,185.83 ,-2.43,2.21,0
0,166.77 ,-2.4,-0.75,0
0.53,109.06 ,-2.38,7.9,0
0,144.42 ,-2.29,-1.9,0
5.02,166.42 ,-2.28,0.99,1
0.73,118.64 ,-2.27,1.25,0
1.03,337.21 ,-2.25,2.48,0
0.8,1202.63 ,-2.22,1.49,0
0,50.36 ,-2.21,1.31,0
4.48,187.37 ,-2.15,4.3,1
6.32,362.69 ,-2.15,4.25,1
2.03,255.52 ,-2.13,6.43,1
0,68.34 ,-2.1,-1.9,0
4.5,135.72 ,-2.08,5.94,1
1.94,53.21 ,-2.01,-1.51,1
2.9,539.30 ,-2.01,3.46,1
0,9506.86 ,-1.98,-0.31,0
1.16,63.59 ,-1.97,1.18,0
1.6,178.59 ,-1.96,2.62,0
4.64,268.74 ,-1.93,7.85,1
0,866.71 ,-1.93,-2.32,0
3.44,148.84 ,-1.87,8.29,1
1.04,314.16 ,-1.82,1.89,0
3.29,390.21 ,-1.82,3.46,1
3.68,121.38 ,-1.79,2.64,1
0.31,232.82 ,-1.79,0.91,0
3,430.74 ,-1.77,-0.19,1
0,2965.57 ,-1.77,0.16,0
4.02,150.23 ,-1.72,2.18,1
1.37,142.35 ,-1.63,2.74,0
