yield,current,total,roa,class
2.9,104.96 ,9.37,3.97,1
2.05,201.06 ,9.38,5.12,1
3.03,181.55 ,9.49,5.15,1
3.47,476.71 ,9.58,8.4,1
3.03,119.97 ,9.7,3.48,1
5.45,162.96 ,9.7,5.18,1
2.73,108.17 ,9.76,0.82,1
3.28,122.77 ,9.76,1.15,1
4.2,186.32 ,9.76,8.04,1
0.62,305.02 ,9.79,1.17,0
3.98,226.71 ,9.82,4.99,1
4.69,217.83 ,9.84,8.87,1
0,125.16 ,9.86,-3.19,0
2.86,148.09 ,9.93,5.1,1
1.12,125.25 ,10,0.96,0
1.66,178.61 ,10.03,6.43,0
0.66,541.99 ,10.05,3.29,0
1.43,164.26 ,10.06,5.05,0
2.61,196.12 ,10.11,2.53,1
2.53,176.21 ,10.15,3.47,1
2.43,149.72 ,10.18,3.5,1
3.04,217.13 ,10.2,3.6,1
7.44,149.23 ,10.29,2.37,1
2.43,124.72 ,10.3,4.16,1
2.19,169.31 ,10.3,4.85,1
1.02,173.24 ,10.3,0.9,0
2.79,130.87 ,10.31,5.05,1
3.9,134.04 ,10.4,8.54,1
4.87,122.67 ,10.42,7.37,1
4.94,164.82 ,10.45,2.87,1
6.12,264.73 ,10.47,5.05,1
1.81,171.51 ,10.51,6.03,1
2.11,287.32 ,10.52,5.47,1
0,84.60 ,10.53,0.38,0
0,126.36 ,10.53,0.91,0
0.43,152.41 ,10.58,1.76,0
2.46,440.91 ,10.75,6.8,1
3.08,273.20 ,10.78,10.79,1
3.3,102.74 ,10.81,0.86,1
5.13,348.50 ,10.84,8.06,1
0.42,945.62 ,10.98,6.35,0
0,199.18 ,11.04,-1.25,0
0,16.60 ,11.07,1,0
2.69,214.36 ,11.07,5.77,1
3.95,101.16 ,11.19,3.7,1
0,113.12 ,11.22,0.88,0
1.58,203.55 ,11.22,0.28,0
4.09,130.45 ,11.26,2.06,1
2.61,138.38 ,11.35,4.26,1
3.25,247.74 ,11.41,8.92,1
0.84,207.45 ,11.42,7.38,0
4.86,412.32 ,11.43,2.79,1
1.97,234.48 ,11.44,7.82,1
0,88.45 ,11.51,-0.32,0
2.91,48.61 ,11.58,1.3,1
5.42,210.44 ,11.6,3.91,1
3.01,218.32 ,11.61,6.18,1
3.64,137.14 ,11.63,6.58,1
1.72,257.20 ,11.64,3.79,0
3.92,114.27 ,11.77,9,1
1.66,195.98 ,11.79,5.97,0
0.92,180.84 ,11.81,1.41,0
0,191.50 ,11.81,2.91,0
1.92,525.03 ,11.81,4.08,1
0,152.73 ,11.86,-1.76,0
3.31,160.17 ,11.87,2.1,1
0,120.58 ,11.94,4.42,0
2.19,137.60 ,11.95,2.28,1
3.87,108.62 ,11.98,1.59,1
4.84,130.80 ,11.98,5.92,1
2.46,459.00 ,12,11.26,1
1.92,168.21 ,12.02,1.89,1
2.93,174.36 ,12.04,0.9,1
3.44,115.08 ,12.07,8.37,1
2.88,122.90 ,12.07,4.85,1
0,134.48 ,12.1,5.3,0
4.38,200.45 ,12.15,8.38,1
0,66.81 ,12.17,-0.6,0
2.06,555.01 ,12.23,3,1
4.19,216.31 ,12.24,6.47,1
3.43,167.02 ,12.26,7.2,1
0,178.98 ,12.32,1.22,0
2.93,117.40 ,12.41,6.98,1
1.09,136.81 ,12.44,1.69,0
1.42,207.19 ,12.46,3.69,0
5.65,274.22 ,12.54,5.65,1
1.98,245.06 ,12.64,2.48,1
5.24,154.12 ,12.65,7.61,1
4.17,233.98 ,12.67,10.61,1
11.1,167.07 ,12.7,9.25,1
2.24,128.57 ,12.71,1.43,1
1.7,163.72 ,12.96,2.46,0
3.56,201.65 ,12.98,13.35,1
3.9,211.39 ,13.07,7.27,1
2.34,179.46 ,13.2,3.87,1
1.84,169.87 ,13.24,4.09,1
3.49,162.42 ,13.31,4.64,1
1.86,257.65 ,13.34,9.83,1
2.59,261.57 ,13.35,7.21,1
1.29,155.75 ,13.43,0.86,0
1.01,225.88 ,13.44,3.29,0
3.73,202.41 ,13.45,7.28,1
5.21,83.07 ,13.62,3.98,1
0,176.48 ,13.67,3.96,0
4.61,214.12 ,13.83,4.37,1
0,178.19 ,13.86,-1.05,0
0.82,232.43 ,13.95,10.9,0
3.41,156.11 ,14,6.63,1
2.02,150.97 ,14.12,3.75,1
4.44,165.47 ,14.21,6.46,1
4.4,135.58 ,14.22,6.41,1
0,190.31 ,14.46,5.52,0
4.31,214.17 ,14.53,5.66,1
5.06,102.99 ,14.64,3.96,1
1.29,193.67 ,14.72,5.41,0
2.63,218.20 ,14.74,4.78,1
4.28,359.06 ,14.8,5.29,1
3.86,53.18 ,14.92,3.15,1
3.69,170.89 ,14.92,4.09,1
1.95,129.70 ,15.01,13.95,1
1.92,221.24 ,15.09,9.78,1
4.39,192.51 ,15.15,7.89,1
3.22,100.34 ,15.23,3.34,1
1.01,133.09 ,15.26,15.84,0
4.36,235.65 ,15.32,5.68,1
2.16,177.06 ,15.35,4.65,1
4.67,143.09 ,15.45,4.37,1
3.42,137.43 ,15.47,2.43,1
5.66,167.66 ,15.56,0.52,1
6.37,183.93 ,15.64,8.46,1
1.14,537.39 ,15.64,13.06,0
5.25,134.43 ,15.66,2.24,1
5.96,274.68 ,15.9,6.19,1
0.09,177.64 ,15.96,3.02,0
0.96,215.22 ,15.98,5.37,0
1.35,247.08 ,16.17,9.16,0
3.73,142.21 ,16.27,3.4,1
3.56,104.67 ,16.4,0.66,1
0,220.61 ,16.44,-1.37,0
2.92,300.37 ,16.47,7.93,1
0,230.50 ,16.49,4.5,0
2.38,154.29 ,16.5,1.91,1
2.02,222.57 ,16.52,2.93,1
2.01,249.14 ,16.58,2.89,1
3.05,158.79 ,16.74,3.26,1
5.88,112.24 ,16.79,1.24,1
3.57,95.85 ,16.83,5.53,1
2.11,117.73 ,16.87,6.39,1
1.54,147.82 ,16.88,0.64,0
4.69,168.93 ,16.9,9.74,1
1.36,219.20 ,16.93,1.65,0
3.57,180.24 ,17,4.89,1
6.99,354.99 ,17.19,9.82,1
0.67,246.93 ,17.25,3.4,0
2.61,199.33 ,17.26,8.07,1
2.27,96.86 ,17.39,0.46,1
2.08,192.38 ,17.5,3.05,1
2.41,185.70 ,17.52,6.71,1
1.38,159.88 ,17.54,4.2,0
0,131.30 ,17.62,1.35,0
2.34,149.38 ,17.69,-0.29,1
1.22,200.20 ,17.73,4.62,0
0,120.45 ,17.79,1.26,0
3.77,205.17 ,17.86,4.78,1
1.47,170.94 ,17.89,1.39,0
2.65,696.81 ,17.94,9.38,1
2.95,102.13 ,18,6.65,1
2.45,120.53 ,18.07,9.97,1
4.71,53.42 ,18.11,1.49,1
1.34,258.10 ,18.32,7.87,0
5.65,120.23 ,18.33,4.91,1
3.05,124.09 ,18.33,3.59,1
1.4,156.22 ,18.37,12.04,0
4.56,143.98 ,18.62,7.9,1
3.07,110.85 ,18.68,5.73,1
0,166.00 ,18.74,1.79,0
2.82,128.13 ,18.75,3.66,1
3.64,147.17 ,18.87,5.36,1
0,143.96 ,18.98,13.23,0
4.18,156.14 ,19.03,7.36,1
1.08,364.66 ,19.25,-0.45,0
3.58,139.78 ,19.27,1.91,1
4.32,128.49 ,19.39,3.38,1
3.74,148.41 ,19.42,0.88,1
3.54,125.15 ,19.65,1.96,1
3.32,151.46 ,19.66,5.23,1
1.19,174.49 ,19.68,2.64,0
3.04,171.78 ,19.78,6.15,1
2.98,124.42 ,19.81,5.05,1
3.69,233.99 ,19.93,8.3,1
4.54,249.53 ,20,8.49,1
2.52,373.82 ,20.01,16.39,1
0.46,259.38 ,20.35,0.97,0
1.29,185.17 ,20.62,3.94,0
2.69,113.22 ,20.64,2.24,1
4.26,409.94 ,20.73,16.9,1
0.76,84.40 ,21.22,1.18,0
1.35,228.03 ,21.32,2.86,0
3.44,103.35 ,21.58,5.37,1
3.05,111.87 ,21.71,10.34,1
2.78,135.67 ,21.71,2.62,1
3.51,211.47 ,21.71,1,1
2.39,177.12 ,21.76,4.11,1
3.25,139.57 ,21.8,4.36,1
0,184.04 ,22.15,0.46,0
1.12,193.36 ,22.37,2.84,0
4.56,623.47 ,22.43,4.47,1
1.31,212.18 ,22.63,3.03,0
5.11,271.78 ,22.76,6.73,1
3.34,250.17 ,22.81,6.72,1
4.21,172.30 ,23.05,6.55,1
0,142.34 ,23.09,-0.89,0
0,153.06 ,23.21,1.81,0
3.82,254.42 ,23.34,7.42,1
0,2686.30 ,23.42,-2.16,0
0,5936.01 ,23.48,-4.86,0
5.42,149.57 ,23.73,6.33,1
3.39,144.94 ,23.88,2.77,1
4.11,177.74 ,23.91,10.52,1
2.32,134.30 ,23.95,1.25,1
3.28,153.61 ,24.39,4.14,1
1.71,416.85 ,24.4,4.48,0
0,157.28 ,24.46,1.83,0
1.58,286.69 ,24.87,11.78,0
0.87,342.38 ,25.06,1.7,0
0,131.35 ,25.37,0.11,0
0,10424.13 ,25.5,-7.49,0
2.97,234.70 ,25.71,11.6,1
1.19,243.50 ,26.01,-1.02,0
3.9,129.42 ,26.02,2.85,1
1.38,259.49 ,26.16,1.47,0
3.16,141.10 ,26.51,3.71,1
2.07,384.56 ,26.67,4.67,1
0.6,156.11 ,26.83,1.67,0
1.66,151.70 ,27.15,6.84,0
4.35,167.94 ,27.33,3.71,1
2.53,157.71 ,27.37,1.83,1
5.77,152.89 ,27.44,8.86,1
1.2,282.35 ,27.45,1.29,0
2.32,132.97 ,27.53,3.77,1
2.92,185.25 ,27.86,3.72,1
0.92,145.35 ,27.94,6.34,0
3.67,163.38 ,28.23,5.97,1
1.25,253.88 ,28.59,9.71,0
2.65,203.95 ,28.75,1.74,1
3.45,84.68 ,28.77,6.22,1
3.26,46.17 ,29.04,2.99,1
1.85,155.89 ,29.39,18.7,1
1.04,132.62 ,30.28,-0.85,0
2.37,88.43 ,31.25,3.65,1
2.87,78.49 ,31.37,1.43,1
1.04,245.90 ,31.43,7.47,0
5.05,309.39 ,31.79,6.76,1
2.25,156.50 ,31.89,1.98,1
1.28,277.55 ,32.07,4.22,0
0.43,141.55 ,32.5,4.16,0
5.52,113.88 ,32.52,2.29,1
2.25,357.64 ,32.54,7.08,1
3.16,169.77 ,33.01,6.13,1
3.4,144.54 ,33.46,3.26,1
3.1,140.95 ,33.9,0.98,1
1.75,207.18 ,34.95,16.39,1
0,135.45 ,35.38,-0.4,0
0,200.05 ,35.42,-0.79,0
13.02,374.30 ,35.89,0.4,1
2.1,132.20 ,35.91,8.41,1
2.74,89.50 ,36.39,2.87,1
5.51,86.15 ,36.52,3.04,1
4.48,115.60 ,37.32,2.16,1
1.59,161.67 ,38.17,10.32,0
0.67,258.69 ,38.91,6.05,0
0,127.16 ,38.97,36.34,0
1.69,209.68 ,39.34,8.81,0
1.8,146.89 ,40.25,11.68,1
3.33,124.60 ,40.5,5.04,1
3.09,149.38 ,40.5,4.56,1
1.13,119.07 ,40.88,3.36,0
1.81,106.32 ,41.04,6.67,1
5.07,87.04 ,41.26,1.48,1
2.18,169.03 ,41.29,14.48,1
5.39,126.57 ,42.59,6.42,1
2.94,133.97 ,43.09,2.91,1
5.3,107.89 ,43.84,0.97,1
0,137.96 ,45.33,-1.05,0
2.04,329.68 ,45.47,-0.37,1
2,454.82 ,45.88,3,1
0.97,151.61 ,46.94,5.01,0
0.93,434.83 ,47.7,4.67,0
3.26,302.16 ,49.14,13.84,1
2.09,161.83 ,49.25,7.02,1
2.63,158.06 ,49.65,4.02,1
0.62,211.83 ,49.67,9.91,0
0,159.52 ,50.58,1.39,0
0.74,131.95 ,52.6,8.79,0
4.52,145.85 ,55.99,6.63,1
4.34,309.73 ,57.27,10.31,1
0,148.83 ,57.37,19.22,0
1.04,97.37 ,58.37,33.49,0
4.9,155.45 ,59.41,3.4,1
1.38,1015.04 ,59.45,52.49,0
3.6,135.73 ,60.42,4.67,1
0.69,1596.22 ,64.66,1.45,0
0.72,207.72 ,64.69,5.95,0
0.88,195.18 ,69,4.53,0
1.12,243.18 ,69.57,8.03,0
2.19,167.94 ,70.31,6.08,1
0,122.10 ,70.65,-6.8,0
0,131.38 ,74.59,-5.05,0
0.93,151.02 ,84.84,0.9,0
0.83,460.47 ,89.84,10.76,0
1.45,158.37 ,108.18,2.87,0
1.46,119.40 ,108.7,6.13,0
1.38,547.38 ,124.87,29.47,0
0.92,269.57 ,142.77,9.86,0
1.26,117.08 ,166.72,2.83,0
